shortcode,content_form,folder,n_jpg,n_mp4,n_slides,has_frames,n_frames,has_transcript,transcript_nonempty,media_id,caption,comments_count,like_count,media_product_type,media_type,permalink,timestamp,reach,saved,views,total_interactions,comments_downloaded,year,Not_reel,month,dayofweek,hour,ig_pk,owner_username,owner_id,media_type_api,product_type_api,taken_at,has_audio,video_duration,location_name,n_hashtags,n_mentions,music_source,audio_type,song_title,artist,audio_id,audio_cluster_id,music_duration_ms,is_explicit,mashups_allowed,tagged_usernames,tagged_user_ids,n_tagged,coauthors,coauthor_ids,n_coauthors,product_tags,n_product_tags,n_featured_products,sponsor_usernames,is_paid_partnership,features_status
C-ALckJN-cj,reel,multimodal_dataset_fixed\reel\C-ALckJN-cj,0,1,1,True,5,True,True,17865483759124019,"Amici e amiche, mi serve il vostro aiuto per iniziare a creare uno spazio che spero potremo vivere insieme appena finito, non vedo l’ora di invitarvi a giocare. Come lo chiamiamo?  @wallapop.it #wallapopitaly #wallapop #wallapoplovers #ad",579.0,30895.0,REELS,VIDEO,https://www.instagram.com/reel/C-ALckJN-cj/,2024-07-29 10:14:05,521030.0,529.0,1223072.0,32007.0,1.0,2024.0,False,7.0,Monday,10.0,3422786058267911971,camihawke,15526265,2.0,clips,1722248022.0,True,110.4000015258789,,4.0,1.0,original,original_sounds,Original audio,camihawke,358573110618818,18410189152076012,110362.0,False,True,['wallapop.it'],['47010202441'],1.0,['wallapop.it'],['47010202441'],1.0,[],0.0,0.0,[],False,ok
C-DI1eBtxAt,reel,multimodal_dataset_fixed\reel\C-DI1eBtxAt,0,1,1,True,3,True,True,18454659019005622,Il crime mi sta condizionando la vita. La mia cronologia mi incastrerebbe con ma stessa velocità con cui salpava la mave di Raul dopo un pinnettu.,705.0,46948.0,REELS,VIDEO,https://www.instagram.com/reel/C-DI1eBtxAt/,2024-07-30 13:46:50,581607.0,924.0,1314601.0,49024.0,1.0,2024.0,False,7.0,Tuesday,13.0,3423619000477093933,camihawke,15526265,2.0,clips,1722347265.0,True,112.63300323486328,,0.0,0.0,original,original_sounds,Original audio,camihawke,1220105776091319,18447864952019921,112616.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C-H5ympttHo,reel,multimodal_dataset_fixed\reel\C-H5ympttHo,0,1,1,True,6,True,True,18010866632545920,"Le mie #olimpiadi della pesca, uno sport completo.",273.0,30025.0,REELS,VIDEO,https://www.instagram.com/reel/C-H5ympttHo/,2024-08-01 10:14:01,499708.0,812.0,1397860.0,31099.0,1.0,2024.0,False,8.0,Thursday,10.0,3424960207765557736,camihawke,15526265,2.0,clips,1722507189.0,True,175.93299865722656,,1.0,0.0,original,original_sounds,Original audio,camihawke,3821252128136981,18428974168071108,175912.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C-SYnCFNa67,reel,multimodal_dataset_fixed\reel\C-SYnCFNa67,0,1,1,True,15,True,True,17893358241050773,Ho un grande occhio per gli acquisti. Brava 👍🏼,473.0,47349.0,REELS,VIDEO,https://www.instagram.com/reel/C-SYnCFNa67/,2024-08-05 11:57:24,636316.0,635.0,1606669.0,48425.0,1.0,2024.0,False,8.0,Monday,11.0,3427910501793115835,camihawke,15526265,2.0,clips,1722859000.0,True,143.0,,0.0,0.0,original,original_sounds,Original audio,camihawke,3881559202133240,18447337444032873,142987.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C-xRzfuN2Xx,reel,multimodal_dataset_fixed\reel\C-xRzfuN2Xx,0,1,1,True,13,True,True,18017286983228588,"Cosa c’entra Shakespeare con i videogiochi lo scoprirete in questo libro che mi ha fatto piangere, riflettere e venir voglia di immergermi in un MMORPG con focus chat.",220.0,17664.0,REELS,VIDEO,https://www.instagram.com/reel/C-xRzfuN2Xx/,2024-08-17 11:53:01,418410.0,4567.0,860835.0,22389.0,1.0,2024.0,False,8.0,Saturday,11.0,3436606296205780465,camihawke,15526265,2.0,clips,1723895585.0,True,153.93299865722656,,0.0,0.0,original,original_sounds,Original audio,camihawke,3967013160246435,18449955889017185,153900.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C0jVVbINvUi,reel,multimodal_dataset_fixed\reel\C0jVVbINvUi,0,1,1,True,10,True,True,17922662312811429,E voi? Tutto ok?,638.0,58967.0,REELS,VIDEO,https://www.instagram.com/reel/C0jVVbINvUi/,2023-12-07 12:39:05,822832.0,1793.0,1653492.0,61485.0,1.0,2023.0,False,12.0,Thursday,12.0,3252537187106223394,camihawke,15526265,2.0,clips,1701952725.0,True,79.16600036621094,,0.0,0.0,original,original_sounds,Original audio,camihawke,2076930482668661,18401919898042895,79133.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C12EgtztPjh,reel,multimodal_dataset_fixed\reel\C12EgtztPjh,0,1,1,True,2,True,True,18013304015118277,Grwm: chiacchieriamo un po’+ sono iniziati i saldi dei miei prodotti sul sito di @we.makeup se vi serve qualcosa di scorta fateci un salto!,137.0,20694.0,REELS,VIDEO,https://www.instagram.com/reel/C12EgtztPjh/,2024-01-08 15:50:36,510745.0,1034.0,1093628.0,21387.0,1.0,2024.0,False,1.0,Monday,15.0,3275825619353794785,camihawke,15526265,2.0,clips,1704729014.0,True,461.6659851074219,,0.0,1.0,original,original_sounds,Original audio,camihawke,1082072899907664,18374047888072319,461658.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C162YXwt0xO,reel,multimodal_dataset_fixed\reel\C162YXwt0xO,0,1,1,True,4,True,True,18290694757199686,Rece umile: l’ultima cosa bella sulla faccia della terra. Lo avete letto? Che ne pensate?,68.0,11714.0,REELS,VIDEO,https://www.instagram.com/reel/C162YXwt0xO/,2024-01-10 12:24:53,417131.0,1465.0,831823.0,12798.0,1.0,2024.0,False,1.0,Wednesday,12.0,3277170848157879374,camihawke,15526265,2.0,clips,1704889313.0,True,190.5,,0.0,0.0,original,original_sounds,Original audio,camihawke,346019408291114,18317596666117657,190472.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C1MinSsNEg0,reel,multimodal_dataset_fixed\reel\C1MinSsNEg0,0,1,1,True,9,True,True,17999007716151742,"Su Prime Video è disponibile Saltburn, un film che secondo me valeva la pena analizzare nel dettaglio. Ecco la mia rece umile #Saltburn #adv",250.0,35104.0,REELS,VIDEO,https://www.instagram.com/reel/C1MinSsNEg0/,2023-12-23 12:46:03,818755.0,3457.0,1552403.0,38955.0,1.0,2023.0,False,12.0,Saturday,12.0,3264136063646713908,camihawke,15526265,2.0,clips,1703335549.0,True,89.5999984741211,,2.0,0.0,original,original_sounds,Original audio,camihawke,1744295079372023,18325448632102851,89582.0,False,True,['primevideoit'],['4168387559'],1.0,['primevideoit'],['4168387559'],1.0,[],0.0,0.0,[],False,ok
C1pGPFCNNHN,reel,multimodal_dataset_fixed\reel\C1pGPFCNNHN,0,1,1,True,2,True,True,18289555210155460,Per voi di che colore sono i mesi e perchè proprio come ho detto io?,785.0,52629.0,REELS,VIDEO,https://www.instagram.com/reel/C1pGPFCNNHN/,2024-01-03 14:53:01,748883.0,1350.0,1688002.0,54274.0,1.0,2024.0,False,1.0,Wednesday,14.0,3272174028738318797,camihawke,15526265,2.0,clips,1704293614.0,True,67.36599731445312,,0.0,0.0,original,original_sounds,Original audio,camihawke,307930621658298,18278293837095320,67360.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C1uB35utJB5,reel,multimodal_dataset_fixed\reel\C1uB35utJB5,0,1,1,True,6,True,True,17906269034908678,"#gihawkiamo: Everdell.  Lo conoscete? Vi piace? Se non lo conoscevate, vi ispira? Fatemi sapere🫶🏻 #everdell",215.0,16220.0,REELS,VIDEO,https://www.instagram.com/reel/C1uB35utJB5/,2024-01-05 12:48:31,628256.0,2095.0,1277635.0,18194.0,1.0,2024.0,False,1.0,Friday,12.0,3273562218749530233,camihawke,15526265,2.0,clips,1704459000.0,True,192.36599731445312,,2.0,0.0,original,original_sounds,Original audio,camihawke,693067716259364,18407229187062142,192330.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C2kTelotgov,reel,multimodal_dataset_fixed\reel\C2kTelotgov,0,1,1,True,7,True,True,17967996401546766,,449.0,15768.0,REELS,VIDEO,https://www.instagram.com/reel/C2kTelotgov/,2024-01-26 14:56:35,531036.0,1504.0,1136758.0,16650.0,1.0,2024.0,False,1.0,Friday,14.0,3288839292766784047,camihawke,15526265,2.0,clips,1706280869.0,True,237.13299560546875,,0.0,0.0,original,original_sounds,Original audio,camihawke,1080034366750407,18384037801069189,237121.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C2PaWNctR3M,reel,multimodal_dataset_fixed\reel\C2PaWNctR3M,0,1,1,True,2,True,True,17994232190295655,My life in 15 seconds,47.0,34720.0,REELS,VIDEO,https://www.instagram.com/reel/C2PaWNctR3M/,2024-01-18 11:59:35,625572.0,1263.0,1278731.0,35059.0,1.0,2024.0,False,1.0,Thursday,11.0,3282958528854433228,camihawke,15526265,2.0,clips,1705579245.0,True,13.666000366210938,,0.0,0.0,original,original_sounds,Original audio,camihawke,1189682132063095,18323102572112419,13652.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
C2Z1GOIN4En,reel,multimodal_dataset_fixed\reel\C2Z1GOIN4En,0,1,1,True,14,True,True,17989270052567073,Che dire? A volte forse basta davvero solo il pensiero.,512.0,40009.0,REELS,VIDEO,https://www.instagram.com/reel/C2Z1GOIN4En/,2024-01-22 13:21:56,579494.0,2117.0,1284877.0,41445.0,1.0,2024.0,False,1.0,Monday,13.0,3285890927095677223,camihawke,15526265,2.0,clips,1705929698.0,True,135.6999969482422,,0.0,0.0,original,original_sounds,Original audio,camihawke,236590032834784,18409822642052257,135696.0,False,True,[],[],0.0,[],[],0.0,[],0.0,0.0,[],False,ok
