Date,Event_Title,Entry_Type,Category,Details,Context_or_Metrics
2016-11-01,Initial Digital Footprint Expansion,Milestone / Occurrence,Professional Milestone,"Began active distribution of curated comedic, parodic, and narrative video content across Snapchat, Facebook, and Instagram under the artistic moniker 'Camihawke'.",Multi-platform media launch
2017-09-15,Rai Radio2 On-Air Broadcast Engagement,Milestone / Occurrence,Professional Milestone,"Contracted as an official radio speaker and host for national broadcaster Rai Radio2, marking a formal transition into traditional media infrastructure.",National public broadcasting reach
2017-11-13,Pink Different (FoxLife TV Show),First Public Announcement,Television Debut,"Official FoxLife press releases unveiled the all-female cast featuring Camihawke and Alice Venturi for the new daily show premiering November 20, 2017.",Co-host / Panelist
2019-09-12,Nella MIA Cucina (Rai 2 TV Show),First Public Announcement,Television Collaboration,Rai Pubblicità held an official press presentation in Milan unveiling the brand-integrated cooking format with Scavolini starring Chef Cracco and Camihawke.,Co-host with Carlo Cracco
2019-09-16,Co-Hosting Debut on National Television,Milestone / Occurrence,Professional Milestone,Co-hosted the daytime culinary production 'Nella mia cucina' alongside Michelin-starred chef Carlo Cracco on Rai 2.,Terrestrial linear television exposure
2019-11-05,Macchianera Internet Award & Corporate Social Responsibility Appointment,Milestone / Occurrence,Accolade / Philanthropy,Voted 'Miglior Instagrammer' at the Macchianera Internet Awards and formally designated as a National Ambassador for Fondazione AIRC (Italian Association for Cancer Research).,Top-tier digital sector recognition
2019-11-20,TEDxRimini 2019,First Public Announcement,Public Speaking,TEDxRimini organizers added her to the official speaker lineup for the December 14 event to present her analysis on authenticity and digital communication.,Featured Keynote Speaker
2019-12-14,TEDxRimini Technical Presentation,Milestone / Occurrence,Professional Milestone,"Selected as a speaker for the TEDxRimini sequence, delivering a presentation dissecting contemporary public discourse and digital communication vectors.",Public intellectual equity
2021-03-09,Per tutto il resto dei miei sbagli (Novel),First Public Announcement,Publishing Debut,"Mondadori Editore opened pre-orders and issued the first catalog mentions for her debut fiction novel, establishing her transition into commercial authorship.",Author (Mondadori)
2021-04-20,Debut Novel Publication,Milestone / Occurrence,Professional Milestone,"Published her fiction debut 'Per tutto il resto dei miei sbagli' via Mondadori, transitioning digital audience equity into commercial publishing volume.",National bestseller metrics
2022-01-19,Tutte le volte che - Sanremo Edition (Podcast),First Public Announcement,Audio / Spotify Partnership,"Spotify Italy officially announced its custom slate of localized original content for the 72nd Sanremo Music Festival, elevating her video-podcast to the official event review show.",Co-host / Creator
2023-04-15,'Il saggio di fine anno' First Solo Tour Launch,Milestone / Occurrence,Professional Milestone,"Inaugurated her first solo nationwide theatrical tour, materializing ticket revenue directly from localized digital followings.",Fully sold-out cross-regional dates
2023-07-03,Il saggio di fine anno (Theatrical Tour),First Public Announcement,Theater Debut,Promoters VignaPR and FVG Music Live distributed the inaugural press releases and activated ticket sales platforms for her first-ever solo nationwide live theater tour.,Solo Performer / Writer
2024-06-14,'Avanguardia Pura' Collaborative Tour Announcement,Milestone / Occurrence,Professional Milestone,Formally announced the joint comedy theatrical enterprise 'Avanguardia Pura' alongside creator and theatrical partner Guglielmo Scilla (Willwoosh).,Production alignment with Vivo Concerti
2024-06-14,Avanguardia Pura (Theatrical Tour),First Public Announcement,Theater Collaboration,"Vivo Concerti published the baseline production brief and opened box office channels for the joint satirical stage show, generating instant viral demand.",Co-writer & Co-star with Guglielmo Scilla
2024-06-19,High-Velocity Ticket Sales Milestone,Milestone / Occurrence,Commercial Metric,"Aggregated over 15,000 ticket acquisitions inside a 24-hour window from launch, triggering instant operational replication of show dates in Milan, Rome, Turin, and Bologna.","15,000 tickets cleared in 24 hours"
2025-01-12,'Avanguardia Pura' Winter/Spring Tour Premiere,Milestone / Occurrence,Professional Milestone,"Commenced the live run of 'Avanguardia Pura' at the Teatro Massimo in Pescara, starting a multi-region live entertainment operation running through the first quarter of 2025.",Multi-region theatrical logistics
