Event_Title,Category,event_month,P1_testable_win3,P2_testable_win3,P3_testable_win3,P1_in_window,P2_in_window,P3_in_window,P1_overlap_with
Initial Digital Footprint Expansion,Professional Milestone,2016-11,False,True,True,False,True,True,
Rai Radio2 On-Air Broadcast Engagement,Professional Milestone,2017-09,False,True,True,False,True,True,
Co-Hosting Debut on National Television,Professional Milestone,2019-09,False,True,True,False,True,True,
Macchianera Internet Award & Corporate Social Responsibility Appointment,Accolade / Philanthropy,2019-11,False,True,True,False,True,True,
TEDxRimini Technical Presentation,Professional Milestone,2019-12,False,True,True,False,True,True,
Debut Novel Publication,Professional Milestone,2021-04,False,True,True,False,True,True,
'Il saggio di fine anno' First Solo Tour Launch,Professional Milestone,2023-04,True,True,True,True,True,True,
'Avanguardia Pura' Collaborative Tour Announcement,Professional Milestone,2024-06,True,True,True,True,True,True,2024-06
High-Velocity Ticket Sales Milestone,Commercial Metric,2024-06,True,True,True,True,True,True,2024-06
'Avanguardia Pura' Winter/Spring Tour Premiere,Professional Milestone,2025-01,True,True,True,True,True,True,"2025-02, 2025-03, 2025-04"
Media Confirmation of Relational Dissolution,Personal / Media Tracking,2025-02,True,True,True,True,True,True,"2025-01, 2025-03, 2025-04"
Autumn Tour Circuit Expansion Announcement,Commercial Metric,2025-03,True,True,True,True,True,True,"2025-01, 2025-02, 2025-04, 2025-09"
Etna Comics Marquee Guest Booking,Professional Milestone,2025-04,True,True,True,True,True,True,"2025-01, 2025-02, 2025-03, 2025-09, 2025-10"
Public Clarification of Interpersonal Separation,Personal / Public Relations,2025-09,True,True,True,True,True,True,"2025-03, 2025-04, 2025-10"
Autumn Leg Re-ignition of 'Avanguardia Pura',Professional Milestone,2025-10,True,True,True,True,True,True,"2025-04, 2025-09"
WMF Creators Fest Principal Address,Professional Milestone,2026-06,False,False,False,False,False,False,
'The Traitors Italia' Cast Unveiling,Professional Milestone,2026-06,False,False,False,False,False,False,
